id,name,colour
0,Computer Science and Information,#ff0000
1,Philosophy and psychology,#ff0000
2,Religion,#ff0000
3,Social sciences,#ff0000
4,Language,#ff0000
5,Science,#ff0000
6,Technology,#ff0000
7,Arts and Recreation,#ff0000
8,Literature,#ff0000
9,History and Geography,#ff0000
