name,subregion_id,area,population
Carlow-Kilkenny,2,2834.5585232025537,145659
Cavan-Monaghan,3,3228.015966911887,133666
Clare,1,3435.5927304670845,111336
Cork East,1,1660.993002727598,114365
Cork North-Central,1,823.5470345703861,104911
Cork North-West,1,2422.3632743863086,81545
Cork South-Central,1,205.70010327590083,135259
Cork South-West,1,2346.320869947099,82952
Donegal North-East,3,1754.3475446723037,82824
Donegal South-West,3,3110.2441498648463,78313
Dublin Central,0,26.591199413949525,113792
Dublin Mid-West,0,104.2332297511817,110427
Dublin North,0,293.93096773453965,114322
Dublin North-Central,0,19.901895608599038,74501
Dublin North-East,0,45.10187214438757,81560
Dublin North-West,0,23.4369520445981,79028
Dublin South,0,94.2758739727708,140543
Dublin South-Central,0,29.804279200807645,127223
Dublin South-East,0,19.90561320462241,103833
Dublin South-West,0,99.2233601906781,105597
Dublin West,0,123.89350895370497,117214
Dún Laoghaire,0,45.961246878379015,105029
Galway East,3,3703.3771310498337,110085
Galway West,3,2450.4316198580577,140568
Kerry North-West Limerick,1,1764.222499995326,80883
Kerry South,1,3481.5117000273253,77971
Kildare North,2,671.4522081968163,120048
Kildare South,2,1024.0191401211664,90264
Laois-Offaly,2,3507.672048154087,152825
Limerick,1,2172.614278604446,81679
Limerick City,1,163.9857114698273,102638
Longford-Westmeath,2,2624.035924082047,116802
Louth,2,912.4529311931102,143272
Mayo,3,5591.594370777809,130638
Meath East,2,1194.9669674834695,86572
Meath West,2,1371.6168117042228,85550
Roscommon-South Leitrim,3,3174.007911846724,80973
Sligo North-Leitrim,3,2802.7202869162193,80283
Tipperary North,1,2735.882860035783,85024
Tipperary South,1,1850.4873770401603,79748
Waterford,1,1794.358716587855,112198
Wexford,2,2371.727146084841,145320
Wicklow,2,2161.9191596466735,141012
